id,latitude,longitude,velocidade_maxima,sentido_tipo,direcao_graus,tipo,fonte,atualizado_em
71,-27.374255,-51.905959,0,AMBOS,72.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
72,-27.373226,-51.904892,0,AMBOS,43.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
73,-27.371907,-51.90338,0,AMBOS,49.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
74,-27.370804,-51.901881,0,AMBOS,50.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
75,-27.369868,-51.900585,0,AMBOS,50.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
76,-27.374045,-51.907864,0,AMBOS,112.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
77,-27.404048,-51.778888,0,AMBOS,101.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
78,-27.404225,-51.778121,0,AMBOS,114.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
79,-27.404406,-51.775835,0,AMBOS,97.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
80,-27.405176,-51.773377,0,AMBOS,133.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
81,-27.406996,-51.773177,0,AMBOS,175.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
82,-27.409624,-51.772494,0,AMBOS,174.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
83,-28.059181,-52.678959,0,UNICO,164.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
84,-28.058046,-52.679337,0,UNICO,161.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
85,-28.055591,-52.680442,0,UNICO,157.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
86,-27.039098,-48.864058,0,UNICO,230.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
87,-29.381426,-51.115527,0,UNICO,211.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
88,-28.672509,-53.60421,0,AMBOS,110.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
89,-29.381493,-51.115428,0,UNICO,31.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
90,-28.649514,-53.630577,0,AMBOS,160.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
91,-29.382844,-51.117579,0,UNICO,244.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
92,-28.650318,-53.630243,0,AMBOS,159.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
93,-29.382926,-51.117543,0,UNICO,64.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
94,-27.432033,-51.90833,0,AMBOS,100.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
95,-29.372168,-51.106748,0,UNICO,209.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
96,-27.431972,-51.906904,0,AMBOS,86.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
97,-29.372221,-51.106655,0,UNICO,28.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
98,-27.431899,-51.905882,0,AMBOS,86.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
99,-25.931661,-52.827338,0,AMBOS,121.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
100,-26.995892,-48.899597,0,AMBOS,122.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
101,-27.712512,-53.953625,0,AMBOS,139.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
102,-27.702875,-53.973912,0,AMBOS,144.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
103,-26.930763,-48.948266,0,UNICO,82.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
104,-27.704951,-53.964656,0,AMBOS,90.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
105,-27.706168,-53.960037,0,AMBOS,130.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
106,-26.976077,-48.793236,0,UNICO,42.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
107,-29.643977,-53.927397,0,DESCONHECIDO,147.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
108,-27.099512,-48.907605,0,AMBOS,63.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
109,-27.099127,-48.90683,0,AMBOS,63.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
110,-26.910167,-48.934789,0,UNICO,249.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
111,-27.083173,-48.895994,0,AMBOS,11.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
112,-27.082044,-48.895551,0,AMBOS,30.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
113,-26.822948,-49.160255,0,UNICO,142.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
114,-27.080359,-48.892988,0,AMBOS,62.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
115,-27.07941,-48.890867,0,AMBOS,65.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
116,-27.074841,-48.886861,0,AMBOS,35.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
117,-27.073016,-52.858991,0,AMBOS,96.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
118,-27.064593,-48.878672,0,UNICO,24.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
119,-27.072461,-52.864937,0,AMBOS,99.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
120,-27.06448,-48.878677,0,UNICO,204.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
121,-27.073644,-52.990227,0,AMBOS,5.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
122,-27.043751,-48.869767,0,UNICO,21.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
123,-27.08689,-53.002605,0,UNICO,234.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
124,-27.042488,-48.868523,0,UNICO,50.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
125,-27.07439,-53.154475,0,AMBOS,72.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
126,-29.571282,-53.453244,0,AMBOS,148.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
127,-29.568996,-53.454968,0,AMBOS,148.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
128,-29.610177,-53.444126,0,AMBOS,28.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
129,-29.61685,-53.448247,0,AMBOS,28.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
130,-29.589177,-53.431605,0,AMBOS,151.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
131,-29.585298,-53.435429,0,AMBOS,134.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
132,-28.633151,-52.867122,0,UNICO,160.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
